"","ISO","year","PriorityArea","Policy","valueCAP_Comp","Policytype","Policytype_detail"
"94684","USA",2001,"Buildings","Financing Mechanism Buildings",NA,"MBI","Subsidy"
"94685","USA",2001,"Buildings","Fossil Fuel Subsides Buildings",NA,"MBI","Carbon Pricing"
"94686","USA",2001,"Buildings","Labels Appliances",10,"NMBI","Information"
"94687","USA",2001,"Buildings","MEPS of appliances",8,"NMBI","Performance Standards"
"94688","USA",2001,"Cross_sectoral","Bans Phase Outs Fossil Fuel Extraction",0,"NMBI","Technology Standards"
"94689","USA",2001,"Cross_sectoral","Fossil Fuel Subsidies Producer Support",NA,"MBI","Carbon Pricing"
"94690","USA",2001,"Cross_sectoral","Independent Advisory Body",0,"Other","Governance"
"94691","USA",2001,"Cross_sectoral","Methane Policies",4,"NMBI","Other NMBI"
"94692","USA",2001,"Cross_sectoral","Nationally Determined Contributions",NA,"Other","Targets"
"94693","USA",2001,"Cross_sectoral","Net Zero Targets",0,"Other","Targets"
"94694","USA",2001,"Cross_sectoral","RDD_CCS",0,"MBI","Other MBI"
"94695","USA",2001,"Cross_sectoral","RDD_EnergyEfficiency",6,"MBI","Other MBI"
"94696","USA",2001,"Cross_sectoral","RDD_Hydrogen",NA,"MBI","Other MBI"
"94697","USA",2001,"Cross_sectoral","RDD_Nuclear",5,"MBI","Other MBI"
"94698","USA",2001,"Cross_sectoral","RDD_Otherstorage",4,"MBI","Other MBI"
"94699","USA",2001,"Cross_sectoral","RDD_Renewables",3,"MBI","Other MBI"
"94700","USA",2001,"Electricity","AirEmissionStandards",2,"NMBI","Performance Standards"
"94701","USA",2001,"Electricity","Auction",0,"MBI","Subsidy"
"94702","USA",2001,"Electricity","BanPhaseOutCoal",0,"NMBI","Technology Standards"
"94703","USA",2001,"Electricity","Carbon Tax Electricity",0,"MBI","Carbon Pricing"
"94704","USA",2001,"Electricity","ETS Electricity",0,"MBI","Carbon Pricing"
"94705","USA",2001,"Electricity","Excise Taxes Electricity",NA,"MBI","Carbon Pricing"
"94706","USA",2001,"Electricity","Feed-In-Tariffs",0,"MBI","Subsidy"
"94707","USA",2001,"Electricity","Fossil Fuel Subsidies Electricity",NA,"MBI","Carbon Pricing"
"94708","USA",2001,"Electricity","PlanningRenewablesExpansion",NA,"NMBI","Other regulatory instruments"
"94709","USA",2001,"Electricity","Renewable energy certificates",1,"MBI","Subsidy"
"94710","USA",2001,"Industry","Carbon Tax Industry",0,"MBI","Carbon Pricing"
"94711","USA",2001,"Industry","ETS Industry",0,"MBI","Carbon Pricing"
"94712","USA",2001,"Industry","EnergyEfficiencyMandates",NA,"NMBI","Other regulatory instruments"
"94713","USA",2001,"Industry","Excise Taxes Industry",NA,"MBI","Carbon Pricing"
"94714","USA",2001,"Industry","Financing Mechanism Industry",NA,"MBI","Subsidy"
"94715","USA",2001,"Industry","Fossil Fuel Subsidies Industry",NA,"MBI","Carbon Pricing"
"94716","USA",2001,"Industry","MEPS electric motors",7,"NMBI","Performance Standards"
"94717","USA",2001,"International","Ban on Export Credits Coal",0,"NMBI","Technology Standards"
"94718","USA",2001,"International","Ban on Financing Fossil Fuels Abroad",0,"NMBI","Technology Standards"
"94719","USA",2001,"International","Evaluation Biannual Report",0,"Other","Climate data"
"94720","USA",2001,"International","GHG Reporting Accounting",NA,"Other","Climate data"
"94721","USA",2001,"International","International Initiatives",0,"Other","International Co-operation"
"94722","USA",2001,"International","Pricing Aviation Maritime",0,"MBI","Carbon Pricing"
