"","ISO","year","PriorityArea","Policy","valueCAP_Comp","Policytype","Policytype_detail"
"94938","USA",2005,"Industry","Carbon Tax Industry",0,"MBI","Carbon Pricing"
"94939","USA",2005,"Industry","ETS Industry",0,"MBI","Carbon Pricing"
"94940","USA",2005,"Industry","EnergyEfficiencyMandates",NA,"NMBI","Other regulatory instruments"
"94941","USA",2005,"Industry","Excise Taxes Industry",NA,"MBI","Carbon Pricing"
"94942","USA",2005,"Industry","Financing Mechanism Industry",NA,"MBI","Subsidy"
"94943","USA",2005,"Industry","Fossil Fuel Subsidies Industry",NA,"MBI","Carbon Pricing"
"94944","USA",2005,"Industry","MEPS electric motors",7,"NMBI","Performance Standards"
"94945","USA",2005,"International","Ban on Export Credits Coal",0,"NMBI","Technology Standards"
"94946","USA",2005,"International","Ban on Financing Fossil Fuels Abroad",0,"NMBI","Technology Standards"
"94947","USA",2005,"International","Evaluation Biannual Report",0,"Other","Climate data"
"94948","USA",2005,"International","GHG Reporting Accounting",NA,"Other","Climate data"
"94949","USA",2005,"International","International Initiatives",0,"Other","International Co-operation"
"94950","USA",2005,"International","Pricing Aviation Maritime",0,"MBI","Carbon Pricing"
"94951","USA",2005,"International","Ratification of Climate Treaties",5,"Other","International Co-operation"
"94952","USA",2005,"International","UNFCCC Submission",3,"Other","Climate data"
"94953","USA",2005,"Transport","Bans and Phaseouts passenger cars ICE",0,"NMBI","Technology Standards"
"94954","USA",2005,"Transport","Carbon Tax Transport",0,"MBI","Carbon Pricing"
"94955","USA",2005,"Transport","Congestion Charges",0,"MBI","Other MBI"
"94956","USA",2005,"Transport","ETS Transport",0,"MBI","Carbon Pricing"
"94957","USA",2005,"Transport","Excise Tax Transport",2,"MBI","Carbon Pricing"
"94958","USA",2005,"Transport","Fossil Fuel Subsidies Transport",NA,"MBI","Carbon Pricing"
"94959","USA",2005,"Transport","Investment in Rail Infrastructure",1,"NMBI","Other NMBI"
"94960","USA",2005,"Transport","Labels Passenger Cars",0,"NMBI","Information"
"94961","USA",2005,"Transport","MEPS Transport",5,"NMBI","Performance Standards"
"94962","USA",2005,"Transport","Speed Limits",7,"NMBI","Other NMBI"
"94963","USA",2006,"Buildings","Bans and Phaseouts Fossil Fuels Heating",0,"NMBI","Technology Standards"
"94964","USA",2006,"Buildings","BuildingEnergyCodes",5,"NMBI","Performance Standards"
"94965","USA",2006,"Buildings","Carbon Tax Buildings",0,"MBI","Carbon Pricing"
"94966","USA",2006,"Buildings","ETS Buildings",0,"MBI","Carbon Pricing"
"94967","USA",2006,"Buildings","ETS_Buildings",0,"MBI","Carbon Pricing"
"94968","USA",2006,"Buildings","Excise Taxes Buildings",NA,"MBI","Carbon Pricing"
"94969","USA",2006,"Buildings","Financing Mechanism Buildings",NA,"MBI","Subsidy"
"94970","USA",2006,"Buildings","Fossil Fuel Subsides Buildings",NA,"MBI","Carbon Pricing"
"94971","USA",2006,"Buildings","Labels Appliances",10,"NMBI","Information"
"94972","USA",2006,"Buildings","MEPS of appliances",8,"NMBI","Performance Standards"
"94973","USA",2006,"Cross_sectoral","Bans Phase Outs Fossil Fuel Extraction",0,"NMBI","Technology Standards"
"94974","USA",2006,"Cross_sectoral","Fossil Fuel Subsidies Producer Support",NA,"MBI","Carbon Pricing"
"94975","USA",2006,"Cross_sectoral","Independent Advisory Body",0,"Other","Governance"
"94976","USA",2006,"Cross_sectoral","Methane Policies",4,"NMBI","Other NMBI"
"94977","USA",2006,"Cross_sectoral","Nationally Determined Contributions",NA,"Other","Targets"
"94978","USA",2006,"Cross_sectoral","Net Zero Targets",0,"Other","Targets"
"94979","USA",2006,"Cross_sectoral","RDD_CCS",7,"MBI","Other MBI"
"94980","USA",2006,"Cross_sectoral","RDD_EnergyEfficiency",4,"MBI","Other MBI"
"94981","USA",2006,"Cross_sectoral","RDD_Hydrogen",8,"MBI","Other MBI"
"94982","USA",2006,"Cross_sectoral","RDD_Nuclear",6,"MBI","Other MBI"
"94983","USA",2006,"Cross_sectoral","RDD_Otherstorage",4,"MBI","Other MBI"
"94984","USA",2006,"Cross_sectoral","RDD_Renewables",2,"MBI","Other MBI"
"94985","USA",2006,"Electricity","AirEmissionStandards",3,"NMBI","Performance Standards"
"94986","USA",2006,"Electricity","Auction",0,"MBI","Subsidy"
"94987","USA",2006,"Electricity","BanPhaseOutCoal",0,"NMBI","Technology Standards"
"94988","USA",2006,"Electricity","Carbon Tax Electricity",0,"MBI","Carbon Pricing"
"94989","USA",2006,"Electricity","ETS Electricity",0,"MBI","Carbon Pricing"
"94990","USA",2006,"Electricity","Excise Taxes Electricity",NA,"MBI","Carbon Pricing"
"94991","USA",2006,"Electricity","Feed-In-Tariffs",2,"MBI","Subsidy"
"94992","USA",2006,"Electricity","Fossil Fuel Subsidies Electricity",NA,"MBI","Carbon Pricing"
"94993","USA",2006,"Electricity","PlanningRenewablesExpansion",NA,"NMBI","Other regulatory instruments"
"94994","USA",2006,"Electricity","Renewable energy certificates",3,"MBI","Subsidy"
"94995","USA",2006,"Industry","Carbon Tax Industry",0,"MBI","Carbon Pricing"
"94996","USA",2006,"Industry","ETS Industry",0,"MBI","Carbon Pricing"
"94997","USA",2006,"Industry","EnergyEfficiencyMandates",NA,"NMBI","Other regulatory instruments"
"94998","USA",2006,"Industry","Excise Taxes Industry",NA,"MBI","Carbon Pricing"
"94999","USA",2006,"Industry","Financing Mechanism Industry",NA,"MBI","Subsidy"
"95000","USA",2006,"Industry","Fossil Fuel Subsidies Industry",NA,"MBI","Carbon Pricing"
"95001","USA",2006,"Industry","MEPS electric motors",7,"NMBI","Performance Standards"
"95002","USA",2006,"International","Ban on Export Credits Coal",0,"NMBI","Technology Standards"
"95003","USA",2006,"International","Ban on Financing Fossil Fuels Abroad",0,"NMBI","Technology Standards"
"95004","USA",2006,"International","Evaluation Biannual Report",0,"Other","Climate data"
"95005","USA",2006,"International","GHG Reporting Accounting",NA,"Other","Climate data"
"95006","USA",2006,"International","International Initiatives",0,"Other","International Co-operation"
"95007","USA",2006,"International","Pricing Aviation Maritime",0,"MBI","Carbon Pricing"
"95008","USA",2006,"International","Ratification of Climate Treaties",5,"Other","International Co-operation"
"95009","USA",2006,"International","UNFCCC Submission",3,"Other","Climate data"
"95010","USA",2006,"Transport","Bans and Phaseouts passenger cars ICE",0,"NMBI","Technology Standards"
"95011","USA",2006,"Transport","Carbon Tax Transport",0,"MBI","Carbon Pricing"
"95012","USA",2006,"Transport","Congestion Charges",0,"MBI","Other MBI"
"95013","USA",2006,"Transport","ETS Transport",0,"MBI","Carbon Pricing"
"95014","USA",2006,"Transport","Excise Tax Transport",2,"MBI","Carbon Pricing"
"95015","USA",2006,"Transport","Fossil Fuel Subsidies Transport",NA,"MBI","Carbon Pricing"
"95016","USA",2006,"Transport","Investment in Rail Infrastructure",2,"NMBI","Other NMBI"
"95017","USA",2006,"Transport","Labels Passenger Cars",0,"NMBI","Information"
"95018","USA",2006,"Transport","MEPS Transport",5,"NMBI","Performance Standards"
"95019","USA",2006,"Transport","Speed Limits",7,"NMBI","Other NMBI"
"95020","USA",2007,"Buildings","Bans and Phaseouts Fossil Fuels Heating",0,"NMBI","Technology Standards"
"95021","USA",2007,"Buildings","BuildingEnergyCodes",5,"NMBI","Performance Standards"
"95022","USA",2007,"Buildings","Carbon Tax Buildings",0,"MBI","Carbon Pricing"
"95023","USA",2007,"Buildings","ETS Buildings",0,"MBI","Carbon Pricing"
"95024","USA",2007,"Buildings","ETS_Buildings",0,"MBI","Carbon Pricing"
"95025","USA",2007,"Buildings","Excise Taxes Buildings",NA,"MBI","Carbon Pricing"
"95026","USA",2007,"Buildings","Financing Mechanism Buildings",NA,"MBI","Subsidy"
"95027","USA",2007,"Buildings","Fossil Fuel Subsides Buildings",NA,"MBI","Carbon Pricing"
"95028","USA",2007,"Buildings","Labels Appliances",10,"NMBI","Information"
"95029","USA",2007,"Buildings","MEPS of appliances",10,"NMBI","Performance Standards"
"95030","USA",2007,"Cross_sectoral","Bans Phase Outs Fossil Fuel Extraction",0,"NMBI","Technology Standards"
"95031","USA",2007,"Cross_sectoral","Fossil Fuel Subsidies Producer Support",NA,"MBI","Carbon Pricing"
"95032","USA",2007,"Cross_sectoral","Independent Advisory Body",0,"Other","Governance"
"95033","USA",2007,"Cross_sectoral","Methane Policies",4,"NMBI","Other NMBI"
"95034","USA",2007,"Cross_sectoral","Nationally Determined Contributions",NA,"Other","Targets"
"95035","USA",2007,"Cross_sectoral","Net Zero Targets",0,"Other","Targets"
"95036","USA",2007,"Cross_sectoral","RDD_CCS",6,"MBI","Other MBI"
"95037","USA",2007,"Cross_sectoral","RDD_EnergyEfficiency",5,"MBI","Other MBI"
"95038","USA",2007,"Cross_sectoral","RDD_Hydrogen",8,"MBI","Other MBI"
"95039","USA",2007,"Cross_sectoral","RDD_Nuclear",6,"MBI","Other MBI"
"95040","USA",2007,"Cross_sectoral","RDD_Otherstorage",3,"MBI","Other MBI"
"95041","USA",2007,"Cross_sectoral","RDD_Renewables",5,"MBI","Other MBI"
"95042","USA",2007,"Electricity","AirEmissionStandards",3,"NMBI","Performance Standards"
"95043","USA",2007,"Electricity","Auction",0,"MBI","Subsidy"
"95044","USA",2007,"Electricity","BanPhaseOutCoal",0,"NMBI","Technology Standards"
"95045","USA",2007,"Electricity","Carbon Tax Electricity",0,"MBI","Carbon Pricing"
"95046","USA",2007,"Electricity","ETS Electricity",0,"MBI","Carbon Pricing"
"95047","USA",2007,"Electricity","Excise Taxes Electricity",NA,"MBI","Carbon Pricing"
"95048","USA",2007,"Electricity","Feed-In-Tariffs",2,"MBI","Subsidy"
"95049","USA",2007,"Electricity","Fossil Fuel Subsidies Electricity",NA,"MBI","Carbon Pricing"
"95050","USA",2007,"Electricity","PlanningRenewablesExpansion",NA,"NMBI","Other regulatory instruments"
"95051","USA",2007,"Electricity","Renewable energy certificates",3,"MBI","Subsidy"
"95052","USA",2007,"Industry","Carbon Tax Industry",0,"MBI","Carbon Pricing"
"95053","USA",2007,"Industry","ETS Industry",0,"MBI","Carbon Pricing"
"95054","USA",2007,"Industry","EnergyEfficiencyMandates",NA,"NMBI","Other regulatory instruments"
"95055","USA",2007,"Industry","Excise Taxes Industry",NA,"MBI","Carbon Pricing"
"95056","USA",2007,"Industry","Financing Mechanism Industry",NA,"MBI","Subsidy"
"95057","USA",2007,"Industry","Fossil Fuel Subsidies Industry",NA,"MBI","Carbon Pricing"
"95058","USA",2007,"Industry","MEPS electric motors",7,"NMBI","Performance Standards"
"95059","USA",2007,"International","Ban on Export Credits Coal",0,"NMBI","Technology Standards"
"95060","USA",2007,"International","Ban on Financing Fossil Fuels Abroad",0,"NMBI","Technology Standards"
"95061","USA",2007,"International","Evaluation Biannual Report",0,"Other","Climate data"
"95062","USA",2007,"International","GHG Reporting Accounting",NA,"Other","Climate data"
"95063","USA",2007,"International","International Initiatives",0,"Other","International Co-operation"
"95064","USA",2007,"International","Pricing Aviation Maritime",0,"MBI","Carbon Pricing"
"95065","USA",2007,"International","Ratification of Climate Treaties",5,"Other","International Co-operation"
"95066","USA",2007,"International","UNFCCC Submission",3,"Other","Climate data"
"95067","USA",2007,"Transport","Bans and Phaseouts passenger cars ICE",0,"NMBI","Technology Standards"
"95068","USA",2007,"Transport","Carbon Tax Transport",0,"MBI","Carbon Pricing"
"95069","USA",2007,"Transport","Congestion Charges",0,"MBI","Other MBI"
"95070","USA",2007,"Transport","ETS Transport",0,"MBI","Carbon Pricing"
"95071","USA",2007,"Transport","Excise Tax Transport",2,"MBI","Carbon Pricing"
"95072","USA",2007,"Transport","Fossil Fuel Subsidies Transport",NA,"MBI","Carbon Pricing"
"95073","USA",2007,"Transport","Investment in Rail Infrastructure",2,"NMBI","Other NMBI"
"95074","USA",2007,"Transport","Labels Passenger Cars",0,"NMBI","Information"
"95075","USA",2007,"Transport","MEPS Transport",5,"NMBI","Performance Standards"
"95076","USA",2007,"Transport","Speed Limits",7,"NMBI","Other NMBI"
"95077","USA",2008,"Buildings","Bans and Phaseouts Fossil Fuels Heating",0,"NMBI","Technology Standards"
"95078","USA",2008,"Buildings","BuildingEnergyCodes",5,"NMBI","Performance Standards"
"95079","USA",2008,"Buildings","Carbon Tax Buildings",0,"MBI","Carbon Pricing"
"95080","USA",2008,"Buildings","ETS Buildings",0,"MBI","Carbon Pricing"
"95081","USA",2008,"Buildings","ETS_Buildings",0,"MBI","Carbon Pricing"
"95082","USA",2008,"Buildings","Excise Taxes Buildings",NA,"MBI","Carbon Pricing"
"95083","USA",2008,"Buildings","Financing Mechanism Buildings",NA,"MBI","Subsidy"
"95084","USA",2008,"Buildings","Fossil Fuel Subsides Buildings",NA,"MBI","Carbon Pricing"
"95085","USA",2008,"Buildings","Labels Appliances",10,"NMBI","Information"
"95086","USA",2008,"Buildings","MEPS of appliances",10,"NMBI","Performance Standards"
"95087","USA",2008,"Cross_sectoral","Bans Phase Outs Fossil Fuel Extraction",0,"NMBI","Technology Standards"
"95088","USA",2008,"Cross_sectoral","Fossil Fuel Subsidies Producer Support",NA,"MBI","Carbon Pricing"
"95089","USA",2008,"Cross_sectoral","Independent Advisory Body",0,"Other","Governance"
"95090","USA",2008,"Cross_sectoral","Methane Policies",4,"NMBI","Other NMBI"
"95091","USA",2008,"Cross_sectoral","Nationally Determined Contributions",NA,"Other","Targets"
"95092","USA",2008,"Cross_sectoral","Net Zero Targets",0,"Other","Targets"
"95093","USA",2008,"Cross_sectoral","RDD_CCS",8,"MBI","Other MBI"
"95094","USA",2008,"Cross_sectoral","RDD_EnergyEfficiency",5,"MBI","Other MBI"
"95095","USA",2008,"Cross_sectoral","RDD_Hydrogen",8,"MBI","Other MBI"
"95096","USA",2008,"Cross_sectoral","RDD_Nuclear",7,"MBI","Other MBI"
"95097","USA",2008,"Cross_sectoral","RDD_Otherstorage",3,"MBI","Other MBI"
"95098","USA",2008,"Cross_sectoral","RDD_Renewables",4,"MBI","Other MBI"
"95099","USA",2008,"Electricity","AirEmissionStandards",3,"NMBI","Performance Standards"
"95100","USA",2008,"Electricity","Auction",4,"MBI","Subsidy"
"95101","USA",2008,"Electricity","BanPhaseOutCoal",0,"NMBI","Technology Standards"
"95102","USA",2008,"Electricity","Carbon Tax Electricity",0,"MBI","Carbon Pricing"
"95103","USA",2008,"Electricity","ETS Electricity",0,"MBI","Carbon Pricing"
"95104","USA",2008,"Electricity","Excise Taxes Electricity",NA,"MBI","Carbon Pricing"
"95105","USA",2008,"Electricity","Feed-In-Tariffs",2,"MBI","Subsidy"
"95106","USA",2008,"Electricity","Fossil Fuel Subsidies Electricity",NA,"MBI","Carbon Pricing"
"95107","USA",2008,"Electricity","PlanningRenewablesExpansion",NA,"NMBI","Other regulatory instruments"
"95108","USA",2008,"Electricity","Renewable energy certificates",3,"MBI","Subsidy"
"95109","USA",2008,"Industry","Carbon Tax Industry",0,"MBI","Carbon Pricing"
"95110","USA",2008,"Industry","ETS Industry",0,"MBI","Carbon Pricing"
"95111","USA",2008,"Industry","EnergyEfficiencyMandates",NA,"NMBI","Other regulatory instruments"
"95112","USA",2008,"Industry","Excise Taxes Industry",NA,"MBI","Carbon Pricing"
"95113","USA",2008,"Industry","Financing Mechanism Industry",NA,"MBI","Subsidy"
"95114","USA",2008,"Industry","Fossil Fuel Subsidies Industry",NA,"MBI","Carbon Pricing"
"95115","USA",2008,"Industry","MEPS electric motors",7,"NMBI","Performance Standards"
"95116","USA",2008,"International","Ban on Export Credits Coal",0,"NMBI","Technology Standards"
"95117","USA",2008,"International","Ban on Financing Fossil Fuels Abroad",0,"NMBI","Technology Standards"
"95118","USA",2008,"International","Evaluation Biannual Report",0,"Other","Climate data"
"95119","USA",2008,"International","GHG Reporting Accounting",NA,"Other","Climate data"
"95120","USA",2008,"International","International Initiatives",0,"Other","International Co-operation"
"95121","USA",2008,"International","Pricing Aviation Maritime",0,"MBI","Carbon Pricing"
"95122","USA",2008,"International","Ratification of Climate Treaties",5,"Other","International Co-operation"
"95123","USA",2008,"International","UNFCCC Submission",3,"Other","Climate data"
"95124","USA",2008,"Transport","Bans and Phaseouts passenger cars ICE",0,"NMBI","Technology Standards"
"95125","USA",2008,"Transport","Carbon Tax Transport",0,"MBI","Carbon Pricing"
"95126","USA",2008,"Transport","Congestion Charges",0,"MBI","Other MBI"
"95127","USA",2008,"Transport","ETS Transport",0,"MBI","Carbon Pricing"
"95128","USA",2008,"Transport","Excise Tax Transport",2,"MBI","Carbon Pricing"
"95129","USA",2008,"Transport","Fossil Fuel Subsidies Transport",NA,"MBI","Carbon Pricing"
"95130","USA",2008,"Transport","Investment in Rail Infrastructure",2,"NMBI","Other NMBI"
"95131","USA",2008,"Transport","Labels Passenger Cars",0,"NMBI","Information"
"95132","USA",2008,"Transport","MEPS Transport",5,"NMBI","Performance Standards"
"95133","USA",2008,"Transport","Speed Limits",7,"NMBI","Other NMBI"
"95134","USA",2009,"Buildings","Bans and Phaseouts Fossil Fuels Heating",0,"NMBI","Technology Standards"
"95135","USA",2009,"Buildings","BuildingEnergyCodes",5,"NMBI","Performance Standards"
"95136","USA",2009,"Buildings","Carbon Tax Buildings",0,"MBI","Carbon Pricing"
"95137","USA",2009,"Buildings","ETS Buildings",0,"MBI","Carbon Pricing"
"95138","USA",2009,"Buildings","ETS_Buildings",0,"MBI","Carbon Pricing"
"95139","USA",2009,"Buildings","Excise Taxes Buildings",NA,"MBI","Carbon Pricing"
"95140","USA",2009,"Buildings","Financing Mechanism Buildings",NA,"MBI","Subsidy"
"95141","USA",2009,"Buildings","Fossil Fuel Subsides Buildings",NA,"MBI","Carbon Pricing"
"95142","USA",2009,"Buildings","Labels Appliances",10,"NMBI","Information"
"95143","USA",2009,"Buildings","MEPS of appliances",10,"NMBI","Performance Standards"
"95144","USA",2009,"Cross_sectoral","Bans Phase Outs Fossil Fuel Extraction",0,"NMBI","Technology Standards"
"95145","USA",2009,"Cross_sectoral","Fossil Fuel Subsidies Producer Support",NA,"MBI","Carbon Pricing"
"95146","USA",2009,"Cross_sectoral","Independent Advisory Body",0,"Other","Governance"
"95147","USA",2009,"Cross_sectoral","Methane Policies",6,"NMBI","Other NMBI"
"95148","USA",2009,"Cross_sectoral","Nationally Determined Contributions",NA,"Other","Targets"
"95149","USA",2009,"Cross_sectoral","Net Zero Targets",0,"Other","Targets"
"95150","USA",2009,"Cross_sectoral","RDD_CCS",10,"MBI","Other MBI"
"95151","USA",2009,"Cross_sectoral","RDD_EnergyEfficiency",9,"MBI","Other MBI"
"95152","USA",2009,"Cross_sectoral","RDD_Hydrogen",8,"MBI","Other MBI"
"95153","USA",2009,"Cross_sectoral","RDD_Nuclear",7,"MBI","Other MBI"
"95154","USA",2009,"Cross_sectoral","RDD_Otherstorage",9,"MBI","Other MBI"
"95155","USA",2009,"Cross_sectoral","RDD_Renewables",10,"MBI","Other MBI"
"95156","USA",2009,"Electricity","AirEmissionStandards",3,"NMBI","Performance Standards"
"95157","USA",2009,"Electricity","Auction",3,"MBI","Subsidy"
"95158","USA",2009,"Electricity","BanPhaseOutCoal",0,"NMBI","Technology Standards"
"95159","USA",2009,"Electricity","Carbon Tax Electricity",0,"MBI","Carbon Pricing"
"95160","USA",2009,"Electricity","ETS Electricity",4,"MBI","Carbon Pricing"
"95161","USA",2009,"Electricity","Excise Taxes Electricity",NA,"MBI","Carbon Pricing"
"95162","USA",2009,"Electricity","Feed-In-Tariffs",3,"MBI","Subsidy"
"95163","USA",2009,"Electricity","Fossil Fuel Subsidies Electricity",NA,"MBI","Carbon Pricing"
"95164","USA",2009,"Electricity","PlanningRenewablesExpansion",NA,"NMBI","Other regulatory instruments"
"95165","USA",2009,"Electricity","Renewable energy certificates",4,"MBI","Subsidy"
"95166","USA",2009,"Industry","Carbon Tax Industry",0,"MBI","Carbon Pricing"
"95167","USA",2009,"Industry","ETS Industry",0,"MBI","Carbon Pricing"
"95168","USA",2009,"Industry","EnergyEfficiencyMandates",NA,"NMBI","Other regulatory instruments"
"95169","USA",2009,"Industry","Excise Taxes Industry",NA,"MBI","Carbon Pricing"
"95170","USA",2009,"Industry","Financing Mechanism Industry",NA,"MBI","Subsidy"
"95171","USA",2009,"Industry","Fossil Fuel Subsidies Industry",NA,"MBI","Carbon Pricing"
"95172","USA",2009,"Industry","MEPS electric motors",7,"NMBI","Performance Standards"
"95173","USA",2009,"International","Ban on Export Credits Coal",0,"NMBI","Technology Standards"
"95174","USA",2009,"International","Ban on Financing Fossil Fuels Abroad",0,"NMBI","Technology Standards"
"95175","USA",2009,"International","Evaluation Biannual Report",0,"Other","Climate data"
"95176","USA",2009,"International","GHG Reporting Accounting",NA,"Other","Climate data"
"95177","USA",2009,"International","International Initiatives",0,"Other","International Co-operation"
"95178","USA",2009,"International","Pricing Aviation Maritime",0,"MBI","Carbon Pricing"
"95179","USA",2009,"International","Ratification of Climate Treaties",5,"Other","International Co-operation"
"95180","USA",2009,"International","UNFCCC Submission",3,"Other","Climate data"
"95181","USA",2009,"Transport","Bans and Phaseouts passenger cars ICE",0,"NMBI","Technology Standards"
"95182","USA",2009,"Transport","Carbon Tax Transport",0,"MBI","Carbon Pricing"
"95183","USA",2009,"Transport","Congestion Charges",0,"MBI","Other MBI"
"95184","USA",2009,"Transport","ETS Transport",0,"MBI","Carbon Pricing"
"95185","USA",2009,"Transport","Excise Tax Transport",2,"MBI","Carbon Pricing"
"95186","USA",2009,"Transport","Fossil Fuel Subsidies Transport",NA,"MBI","Carbon Pricing"
"95187","USA",2009,"Transport","Investment in Rail Infrastructure",2,"NMBI","Other NMBI"
"95188","USA",2009,"Transport","Labels Passenger Cars",0,"NMBI","Information"
"95189","USA",2009,"Transport","MEPS Transport",5,"NMBI","Performance Standards"
"95190","USA",2009,"Transport","Speed Limits",7,"NMBI","Other NMBI"
"95191","USA",2010,"Buildings","Bans and Phaseouts Fossil Fuels Heating",0,"NMBI","Technology Standards"
"95192","USA",2010,"Buildings","BuildingEnergyCodes",5,"NMBI","Performance Standards"
"95193","USA",2010,"Buildings","Carbon Tax Buildings",0,"MBI","Carbon Pricing"
"95194","USA",2010,"Buildings","ETS Buildings",0,"MBI","Carbon Pricing"
"95195","USA",2010,"Buildings","ETS_Buildings",0,"MBI","Carbon Pricing"
"95196","USA",2010,"Buildings","Excise Taxes Buildings",NA,"MBI","Carbon Pricing"
"95197","USA",2010,"Buildings","Financing Mechanism Buildings",10,"MBI","Subsidy"
"95198","USA",2010,"Buildings","Fossil Fuel Subsides Buildings",6,"MBI","Carbon Pricing"
"95199","USA",2010,"Buildings","Labels Appliances",10,"NMBI","Information"
"95200","USA",2010,"Buildings","MEPS of appliances",10,"NMBI","Performance Standards"
"95201","USA",2010,"Cross_sectoral","Bans Phase Outs Fossil Fuel Extraction",0,"NMBI","Technology Standards"
"95202","USA",2010,"Cross_sectoral","Fossil Fuel Subsidies Producer Support",4,"MBI","Carbon Pricing"
"95203","USA",2010,"Cross_sectoral","Independent Advisory Body",0,"Other","Governance"
"95204","USA",2010,"Cross_sectoral","Methane Policies",6,"NMBI","Other NMBI"
"95205","USA",2010,"Cross_sectoral","Nationally Determined Contributions",NA,"Other","Targets"
"95206","USA",2010,"Cross_sectoral","Net Zero Targets",0,"Other","Targets"
"95207","USA",2010,"Cross_sectoral","RDD_CCS",8,"MBI","Other MBI"
"95208","USA",2010,"Cross_sectoral","RDD_EnergyEfficiency",8,"MBI","Other MBI"
"95209","USA",2010,"Cross_sectoral","RDD_Hydrogen",8,"MBI","Other MBI"
"95210","USA",2010,"Cross_sectoral","RDD_Nuclear",7,"MBI","Other MBI"
"95211","USA",2010,"Cross_sectoral","RDD_Otherstorage",5,"MBI","Other MBI"
"95212","USA",2010,"Cross_sectoral","RDD_Renewables",8,"MBI","Other MBI"
"95213","USA",2010,"Electricity","AirEmissionStandards",3,"NMBI","Performance Standards"
"95214","USA",2010,"Electricity","Auction",4,"MBI","Subsidy"
"95215","USA",2010,"Electricity","BanPhaseOutCoal",0,"NMBI","Technology Standards"
"95216","USA",2010,"Electricity","Carbon Tax Electricity",0,"MBI","Carbon Pricing"
"95217","USA",2010,"Electricity","ETS Electricity",4,"MBI","Carbon Pricing"
"95218","USA",2010,"Electricity","Excise Taxes Electricity",NA,"MBI","Carbon Pricing"
"95219","USA",2010,"Electricity","Feed-In-Tariffs",5,"MBI","Subsidy"
"95220","USA",2010,"Electricity","Fossil Fuel Subsidies Electricity",9,"MBI","Carbon Pricing"
"95221","USA",2010,"Electricity","PlanningRenewablesExpansion",4,"NMBI","Other regulatory instruments"
"95222","USA",2010,"Electricity","Renewable energy certificates",4,"MBI","Subsidy"
"95223","USA",2010,"Industry","Carbon Tax Industry",0,"MBI","Carbon Pricing"
"95224","USA",2010,"Industry","ETS Industry",0,"MBI","Carbon Pricing"
"95225","USA",2010,"Industry","EnergyEfficiencyMandates",8,"NMBI","Other regulatory instruments"
"95226","USA",2010,"Industry","Excise Taxes Industry",NA,"MBI","Carbon Pricing"
"95227","USA",2010,"Industry","Financing Mechanism Industry",10,"MBI","Subsidy"
"95228","USA",2010,"Industry","Fossil Fuel Subsidies Industry",10,"MBI","Carbon Pricing"
"95229","USA",2010,"Industry","MEPS electric motors",7,"NMBI","Performance Standards"
"95230","USA",2010,"International","Ban on Export Credits Coal",0,"NMBI","Technology Standards"
"95231","USA",2010,"International","Ban on Financing Fossil Fuels Abroad",0,"NMBI","Technology Standards"
"95232","USA",2010,"International","Evaluation Biannual Report",0,"Other","Climate data"
"95233","USA",2010,"International","GHG Reporting Accounting",NA,"Other","Climate data"
"95234","USA",2010,"International","International Initiatives",0,"Other","International Co-operation"
"95235","USA",2010,"International","Pricing Aviation Maritime",0,"MBI","Carbon Pricing"
"95236","USA",2010,"International","Ratification of Climate Treaties",5,"Other","International Co-operation"
"95237","USA",2010,"International","UNFCCC Submission",3,"Other","Climate data"
"95238","USA",2010,"Transport","Bans and Phaseouts passenger cars ICE",0,"NMBI","Technology Standards"
"95239","USA",2010,"Transport","Carbon Tax Transport",0,"MBI","Carbon Pricing"
"95240","USA",2010,"Transport","Congestion Charges",0,"MBI","Other MBI"
"95241","USA",2010,"Transport","ETS Transport",0,"MBI","Carbon Pricing"
"95242","USA",2010,"Transport","Excise Tax Transport",2,"MBI","Carbon Pricing"
"95243","USA",2010,"Transport","Fossil Fuel Subsidies Transport",9,"MBI","Carbon Pricing"
"95244","USA",2010,"Transport","Investment in Rail Infrastructure",2,"NMBI","Other NMBI"
"95245","USA",2010,"Transport","Labels Passenger Cars",0,"NMBI","Information"
"95246","USA",2010,"Transport","MEPS Transport",10,"NMBI","Performance Standards"
"95247","USA",2010,"Transport","Speed Limits",7,"NMBI","Other NMBI"
"95248","USA",2011,"Buildings","Bans and Phaseouts Fossil Fuels Heating",0,"NMBI","Technology Standards"
"95249","USA",2011,"Buildings","BuildingEnergyCodes",5,"NMBI","Performance Standards"
"95250","USA",2011,"Buildings","Carbon Tax Buildings",0,"MBI","Carbon Pricing"
"95251","USA",2011,"Buildings","ETS Buildings",0,"MBI","Carbon Pricing"
"95252","USA",2011,"Buildings","ETS_Buildings",0,"MBI","Carbon Pricing"
"95253","USA",2011,"Buildings","Excise Taxes Buildings",NA,"MBI","Carbon Pricing"
"95254","USA",2011,"Buildings","Financing Mechanism Buildings",10,"MBI","Subsidy"
"95255","USA",2011,"Buildings","Fossil Fuel Subsides Buildings",5,"MBI","Carbon Pricing"
"95256","USA",2011,"Buildings","Labels Appliances",10,"NMBI","Information"
"95257","USA",2011,"Buildings","MEPS of appliances",10,"NMBI","Performance Standards"
"95258","USA",2011,"Cross_sectoral","Bans Phase Outs Fossil Fuel Extraction",0,"NMBI","Technology Standards"
